item_id,category,platform,condition,brand,age_years,seller_account_age_days,seller_item_count,seller_rating,image_count,description_length,shipping_offered,original_price,current_price,month_listed,days_listed,view_count,favorite_count,price_drops,relistings,sold,sale_price,days_to_sell,suspected_counterfeit,fraud_flag
0,electronics,eBay.de,fair,,3,755,13,2.953628176843606,4,55,True,313.18,25.37,7,34,196,22,0,0,no,,,0.0,False
1,collectibles,eBay.de,like-new,Limited Edition,39,1070,3,3.7922918932006517,8,59,True,185.05,180.63,5,42,176,27,0,0,yes,163.48,15.0,0.06871631638829898,False
2,books,Vinted,like-new,Penguin,4,478,37,4.021975331000974,4,247,True,32.7,26.51,8,119,124,22,3,0,yes,26.44,80.0,0.0,False
3,furniture,Mercari EU,good,,5,715,21,4.062303974762734,8,120,True,392.06,244.44,3,47,160,14,0,2,yes,219.09,28.0,0.041705218718303017,False
4,clothing,Mercari EU,good,,7,1005,72,3.4813258402722234,4,106,True,68.98,49.05,1,30,109,14,0,0,no,,,0.051730899427323646,False
5,clothing,OLX,fair,H&M,9,285,2,3.682692655496004,2,184,True,57.53,28.42,12,100,167,31,5,0,yes,27.09,30.0,0.0,False
6,clothing,Vinted,poor,Gucci,5,371,6,3.480339039841441,6,413,True,167.05,112.04,11,19,1083,126,0,0,yes,107.24,13.0,0.0,False
7,collectibles,Mercari EU,mint,Antique,47,203,9,3.0350830708651837,3,460,True,271.08,469.63,3,17,134,15,0,0,no,,,0.19717424440666304,False
8,furniture,Facebook Marketplace,good,IKEA,3,393,18,3.998562635054121,6,137,True,232.97,187.59,1,22,131,24,0,3,no,,,0.0,False
9,books,Facebook Marketplace,like-new,Penguin,13,970,9,2.2499448189520352,5,86,True,34.58,12.0,11,56,79,15,2,0,yes,11.9,30.0,0.014811880863781629,False
10,clothing,OLX,good,Nike,5,257,12,5.0,9,161,True,123.92,99.33,11,50,208,29,2,1,no,,,0.0,False
11,collectibles,Facebook Marketplace,mint,Funko,5,842,38,2.486508494161272,4,288,False,360.17,263.69,2,49,155,14,3,0,yes,233.96,33.0,0.0,False
12,books,OLX,like-new,Vintage,4,408,2,3.681523126373497,7,305,False,31.43,27.62,8,61,130,13,1,3,yes,25.03,46.0,0.0,False
13,clothing,eBay.de,good,Nike,7,1942,33,4.11722455198221,6,91,True,106.34,64.85,11,86,196,14,2,1,yes,58.11,63.0,0.029047905682161285,False
14,clothing,Mercari EU,like-new,Adidas,5,355,10,3.344704531025879,2,3,True,93.36,75.15,2,57,102,18,1,1,no,,,0.08795778490725455,False
15,clothing,Vinted,fair,,3,201,6,3.6090215645151322,6,168,True,27.09,19.25,4,74,194,28,2,3,no,,,0.0,False
16,electronics,Vinted,good,Generic,1,85,2,4.308328845824826,5,430,False,194.11,98.57,4,51,269,23,0,0,yes,88.81,32.0,0.0,False
17,electronics,Vinted,poor,HP,4,447,22,3.5711735350560057,9,355,False,157.55,16.42,7,18,296,28,0,0,yes,14.5,10.0,0.06715918559175402,False
18,electronics,Vinted,good,Samsung,3,1198,20,3.3124712860968324,4,494,False,649.16,65.59,1,30,214,12,0,1,yes,55.77,15.0,0.030420211044239892,False
19,clothing,eBay.de,like-new,GAP,2,2935,105,4.340091643604366,5,230,True,73.16,53.65,11,42,154,13,0,0,yes,49.8,27.0,0.0,False
20,furniture,Vinted,like-new,,8,259,8,1.6242365114195176,6,96,False,153.56,88.82,9,15,120,12,1,0,yes,86.72,6.0,0.0,False
21,clothing,Vinted,like-new,,4,319,1,3.0991311571311955,5,183,False,58.23,49.58,6,28,135,19,0,0,yes,42.99,11.0,0.03754567307239734,False
22,clothing,OLX,like-new,Uniqlo,10,340,5,3.367588039430369,5,187,True,106.41,46.86,8,16,135,24,0,1,yes,42.91,8.0,0.08228113025086123,False
23,electronics,Vinted,good,Samsung,0,248,13,4.245872761329185,4,143,False,511.0,543.32,5,61,212,41,0,5,yes,488.17,19.0,0.0715701684371873,False
24,electronics,Facebook Marketplace,good,Apple,3,525,4,4.832988633699304,6,394,False,2696.47,237.67,11,64,2136,161,1,1,yes,237.37,38.0,0.42748175422919454,False
25,books,Vinted,like-new,Penguin,5,183,5,4.038235988474829,0,50,True,26.29,20.49,11,39,50,7,4,0,yes,18.18,13.0,0.0,False
26,clothing,OLX,like-new,Adidas,5,1025,3,4.074566446714636,2,106,True,94.59,58.88,7,107,118,10,4,1,yes,55.46,45.0,0.0058641756348875446,False
27,electronics,OLX,mint,Samsung,1,374,1,3.21890350195268,7,166,True,745.53,297.18,12,30,212,17,0,2,yes,258.56,15.0,0.029012857714734414,False
28,furniture,Facebook Marketplace,like-new,Wayfair,1,987,64,3.8947239106996165,8,144,True,204.99,178.26,10,58,203,15,1,2,no,,,0.0,False
29,clothing,Facebook Marketplace,mint,H&M,2,441,8,3.33048488173528,6,43,True,134.32,124.69,2,66,166,22,0,1,no,,,0.0,False
30,furniture,Vinted,good,Ashley,5,205,4,3.697456662110588,2,70,True,331.84,260.05,6,83,135,11,1,0,no,,,0.0045384641674304504,False
31,clothing,OLX,mint,Adidas,4,375,6,3.445436253123611,5,224,False,134.37,108.58,7,64,187,19,0,1,yes,93.68,29.0,0.0,False
32,clothing,OLX,fair,H&M,7,534,2,4.057816978790767,3,120,True,70.51,39.5,10,48,108,12,1,0,yes,34.03,35.0,0.09779958766869137,False
33,collectibles,OLX,like-new,LEGO,49,282,7,4.29536751222145,5,207,False,187.3,372.2,2,25,127,9,0,0,yes,353.7,12.0,0.038092249547203166,False
34,collectibles,Facebook Marketplace,mint,Antique,23,423,27,4.839541604663966,3,202,False,140.35,334.61,8,51,146,20,4,0,yes,297.2,39.0,0.12839643889032032,False
35,books,eBay.de,fair,Penguin,4,529,8,4.020506527969087,2,710,True,16.67,14.12,8,18,71,12,0,0,no,,,0.0,False
36,electronics,OLX,good,Samsung,4,172,1,4.058256123055071,3,101,True,489.59,50.36,2,16,153,23,0,0,yes,50.11,11.0,0.0,False
37,clothing,eBay.de,like-new,Prada,3,609,55,4.779019023646355,7,461,True,417.85,377.94,12,34,1100,149,0,2,yes,354.78,26.0,0.13940629805887944,False
38,furniture,Mercari EU,fair,Wayfair,2,521,3,4.376493197322707,1,136,True,246.35,208.27,2,65,107,16,1,0,no,,,0.008103814901069706,False
39,electronics,Vinted,mint,Apple,6,600,15,4.020433336770506,1,216,True,2819.19,243.28,5,6,621,63,0,1,yes,226.16,4.0,0.39609541878102805,False
40,clothing,OLX,like-new,,7,486,18,3.67854872805358,3,793,True,43.15,24.67,11,22,145,8,0,0,no,,,0.0,False
41,electronics,Vinted,good,Dell,1,95,1,3.416785920337349,5,93,True,455.6,194.87,2,23,170,10,0,0,no,,,0.06190295486227626,False
42,clothing,Vinted,good,,11,84,1,3.137635876385124,2,314,True,22.79,10.66,9,70,166,13,0,2,no,,,0.0965070928907035,False
43,collectibles,Mercari EU,like-new,,41,555,28,4.259101218062206,4,202,False,197.98,152.61,5,44,156,10,2,0,no,,,0.005863186165319931,False
44,clothing,Facebook Marketplace,mint,Nike,8,455,10,4.190856806952544,6,177,True,65.24,33.09,5,38,149,14,0,0,no,,,0.0,False
